Date,Observation,GDP,RLGDP,Population,MF,FIRREA,TRA86,TRA97,FHFA,PH,Pop,MORTGAGE30US,SF,All,GDP_NSA,RES_GDP_DEF,TOT_GDP_DEF,RES_GDP_NSA,RLGDP_NSA,del_RLGDPNSA,del_RLGDPNSAyoy,delPop,hhs,SFshare,SFsharepc,SFcomShare,SFcomSharepc,SFcomlagShare,SFcomlagSharepc,AllComp,SFComp,AllCompLag,SFCompLag,Mileage,CarPP
7/1/1968,39,950.8,4825.799,200997.3,161.6,0,0,0,0,0,200.9973,,249,410.6,235737,14.392,19.706,11814,1196.270172,-6.562965,60.68108,545.6,3.23,0.606429615,60.64296152,0.649340156,64.93401562,0.569583931,56.95839311,371.3,241.1,348.5,198.5,,
10/1/1968,40,968,4844.779,201537.7,160.1,0,0,0,0,0,201.5377,,204.2,364.3,251704,14.958,19.98,10908,1259.77978,63.509608,64.95418,540.4,3.23,0.560527038,56.05270382,0.642778693,64.2778693,0.568901795,56.89017951,364.2,234.1,378.8,215.5,,
1/1/1969,41,993.3,4920.605,201955,152.4,0,0,0,0,0,201.955,,171.1,323.5,238912,15.263,20.18,8684,1183.904856,-75.874924,52.389987,417.3,3.19,0.528902628,52.89026275,0.593259927,59.32599266,0.579795809,57.97958087,299.7,177.8,372.2,215.8,,
4/1/1969,42,1009,4935.564,202419,202.8,0,0,0,0,0,202.419,,259,461.8,254764,15.482,20.446,12468,1246.033454,62.128598,43.200317,464,3.19,0.560848852,56.08488523,0.569583931,56.95839311,0.527181208,52.71812081,348.5,198.5,298,157.1,,
7/1/1969,43,1030,4968.164,202985.7,164.9,0,0,0,0,0,202.9857,,214.5,379.4,255302,15.546,20.737,12667,1231.142402,-14.891052,34.87223,566.7,3.19,0.565366368,56.53663679,0.568901795,56.89017951,0.545081967,54.50819672,378.8,215.5,341.6,186.2,,
10/1/1969,44,1038.1,4943.935,203583.7,136.2,0,0,0,0,0,203.5837,,165.9,302.1,268638,15.779,20.997,10555,1279.411344,48.268942,19.631564,598,3.19,0.549155909,54.91559086,0.579795809,57.97958087,0.583439167,58.34391669,372.2,215.8,393.7,229.7,,
1/1/1970,45,1051.2,4936.594,204085.7,118.7,0,0,0,0,0,204.0857,,136.7,255.4,253998,15.765,21.286,8689,1193.263178,-86.148166,9.358322,502,3.14,0.535238841,53.5238841,0.527181208,52.71812081,0.594545455,59.45454545,298,157.1,385,228.9,,
4/1/1970,46,1067.4,4943.6,204721.3,157,0,0,0,0,0,204.7213,,231.6,388.6,268532,16.349,21.593,10974,1243.606724,50.343546,-2.42673,635.6,3.14,0.595985589,59.59855893,0.545081967,54.50819672,0.572793883,57.27938834,341.6,186.2,313.9,179.8,,
7/1/1970,47,1086.1,4989.159,205418.7,171.6,0,0,0,0,0,205.4187,,228.8,400.4,268019,15.91,21.77,12022,1231.139182,-12.467542,-0.00322,697.4,3.14,0.571428571,57.14285714,0.583439167,58.34391669,0.587548638,58.75486381,393.7,229.7,411.2,241.6,,
10/1/1970,48,1088.6,4935.693,206129.7,173.4,0,0,0,0,0,206.1297,,215.8,389.2,282764,16.041,22.055,11725,1282.085695,50.946513,2.674351,711,3.14,0.554470709,55.44707091,0.594545455,59.45454545,0.58574656,58.57465599,385,228.9,486.9,285.2,,
1/1/1971,49,1135.2,5069.746,206763,175.9,0,0,0,0,0,206.763,,204.8,380.7,273782,16.469,22.389,10540,1222.841574,-59.244121,29.578396,633.3,3.11,0.537956396,53.79563961,0.572793883,57.27938834,0.622343655,62.23436551,313.9,179.8,494.1,307.5,567194,0.54589372
4/1/1971,50,1156.3,5097.179,207362,244.9,0,0,0,0,0,207.362,7.413076923,348.5,593.4,291216,16.807,22.689,14871,1283.511834,60.67026,39.90511,599,3.11,0.587293563,58.72935625,0.587548638,58.75486381,0.54830528,54.83052801,411.2,241.6,433.7,237.8,567194,0.54589372
7/1/1971,51,1177.7,5139.128,207999.7,251.1,0,0,0,0,0,207.9997,7.658461538,321.5,572.6,291043,17.117,22.917,16950,1269.987346,-13.524488,38.848164,637.7,3.11,0.561473978,56.14739783,0.58574656,58.57465599,0.589026697,58.90266975,486.9,285.2,475.7,280.2,567194,0.54589372
10/1/1971,52,1190.3,5151.245,208642.3,229.3,0,0,0,0,0,208.6423,7.552857143,276.2,505.5,308808,17.381,23.107,15791,1336.426191,66.438845,54.340496,642.6,3.11,0.546389713,54.63897132,0.622343655,62.23436551,0.579468378,57.94683776,494.1,307.5,545.5,316.1,567194,0.54589372
1/1/1972,53,1230.6,5245.974,209141.7,241.3,0,0,0,0,0,209.1417,7.349230769,263.9,505.2,299204,17.626,23.478,14377,1274.401567,-62.024624,51.559993,499.4,3.06,0.522367379,52.23673793,0.54830528,54.83052801,0.59417122,59.41712204,433.7,237.8,549,326.2,588147,0.56937799
